english,portuguese
advertisements,"[advertisements] anúncios, publicidades"
advertising,"[advertising] fazendo publicidade (de), anunciar, pondo um anúncio (para), anunciando, publicidade"
advice,"[advice] conselho, conselhos"
affect,"[affect] afeta, afetam, afectar, afetar, afetará"
afraid,"[afraid] com medo, ter medo, estar com medo, tem medo"
africa,[africa] áfrica
african,"[african] africanas, africanos, africana, africano"
after,"[after] depois, depois de, depois que, após, atrás, depois da, depois das, depois do, seguinte"
afternoon,[afternoon] tarde
afterward,"[afterward] depois, afterward"
again,"[again] de novo, novamente, mais uma vez, mesmo, outra vez, voltar"
against,"[against] contra, defronte, oposto"
age,"[age] idade, era, época, envelhece, envelhecem, envelhecemos, envelhecer, envelhecerá, envelheceu, envelheço, tempo"
agent,[agent] agente
ago,"[ago] há, atrás"
agree,"[agree] concordo, concordamos, concordam, acerta, acertam, acertamos, acertar, acertaram, acertaremos, acertei, acerto, acertou, concorda, concordar, concordaram, concordaremos, concordarmos, concordei, concordou"
agreed,"[agreed] concordou, concordaram, acertado, acertamos, acertar, acertaram, acertava, acertavam, acertou, acertávamos, combinado, concordado, concordamos, concordar, concordava, concordavam, concordávamos"
agreement,"[agreement] acordo, concordância, convênio"
aim,"[aim] mira, alvo, aponta, apontam, apontar, aponto, atira, atiram, atirar, atiro, dirige, dirigem, dirigir, dirijo, objetivo, visa, visam, visar, viso"
air,"[air] ar, aérea, arejar, avião, aéreo, expor"
airplane,[airplane] avião
airport,[airport] aeroporto
airs,[airs]
alcohol,[alcohol] álcool
alive,"[alive] vivo, vivos, viva, vivas"
all,"[all] todos, todo, tudo, completamente, de todo, inteiramente, toda, todas, todas as, todo mundo, totalmente"
all day,[all day] o dia todo
all over,"[all over] toda, todo"
all right,"[all right] está bem, bem"
allow,"[allow] permitir, permite, permitem, admite, admitem, admitimos, admitir, admitirei, admitirá, admitiu, admito, concede, concedem, concedemos, conceder, concederam, concederei, concederemos, concederá, concedeu, concedo, conta com, contam com, contamos com, contar com, contarei com, contará com, conto com, contou com, dar, darei, deixa, deixar, deixasse, deixe, deram, deu, dou, dá, dão, permitidas, permitimos, permitiram, permitirei, permitiremos, permitiu, permito, reconhece, reconhecem, reconhecemos, reconhecer, reconhecerei, reconhecerá, reconheceu, reconheço"
allows,"[allows] permite, permitir, conta com, admite, admitir, concede, conceder, contar com, dar, deixa, dá, reconhece, reconhecer"
almost,"[almost] quase, praticamente"
alone,"[alone] em paz, sozinha, sozinhas, sozinho, sozinhos, só"
along,"[along] junto, ao longo de, avante, para diante, para frente"
already,[already] já
alright,"[alright] tudo certo, tudo bem, está bem, razoável, razoáveis"
also,"[also] também, igualmente"
alternative,"[alternative] alternativa, alternativas, alternativo, alternativos"
always,[always] sempre
am,"[am] estou, sou, estive, estiver, estão, fica, ficar, ficarei, ficaria, fico, seria, tenho, vou"
amazing,"[amazing] assombrando, espantando, incrível, incríveis"
ambulance,[ambulance] ambulância
america,"[america] América, Estados Unidos da América, EUA"
american,"[american] estadunidense, americana, americano, americanos, dos Estados Unidos, estado-unidense, norte-americana, norte-americano"
among,"[among] entre, junto, em meio a"
amount,"[amount] quantidade, quantia, montante, número"
an,"[an] uma, um"
analysis,[analysis] análise
analyze,"[analyze] analisar, analisamos, analisa, analisam, analisará, analisarão"
and,[and] e
animal,[animal] animal
animals,[animals] animais
announce,"[announce] anunciam, anunciar, anuncio"
another,"[another] mais um, mais uma, outra, outras, outro, um outro, uma outra"
answer,"[answer] resposta, responder a, responde a, atenda, atende a, atendem, atendem a, atendemos a, atender a, atenderam, atenderam a, atenderei a, atenderemos a, atenderia a, atenderiam a, atenderá a, atenderão a, atendesse, atendeu, atendeu a, atendi a, atendo a, responda, responde, respondem, respondem a, respondemos, respondemos a, responder, responder à, responderam, responderam a, responderei, responderei a, responderia, responderia a, responderiam, responderiam a, responderá, responderá a, responderão, responderão a, respondeu, respondeu a, respondi, respondi a, respondo, respondo a, respondê, solução"
answered,"[answered] respondeu, atendeu, atendi, atendia, respondemos, responder, responderam, respondi, respondia, respondiam, respondida, respondidas, respondido"
answers,"[answers] respostas, responde, responde a, atende, atende a, atender a, responder, responder a, solução"
any,"[any] qualquer, algum, alguma, algumas, alguns, alguém, de qualquer forma, nada, nenhum, nenhuma, quaisquer, qualquer um, qualquer uma, todo, um pouco"
anybody,"[anybody] alguém, qualquer um/qualquer uma, qualquer pessoa, ninguém"
anymore,[anymore] mais
anyone,"[anyone] alguém, qualquer um, qualquer pessoa, ninguém, para ninguém, quem"
anything,"[anything] nada, alguma coisa, qualquer coisa, algo"
anything else,"[anything else] algo mais, nada mais, outra coisa"
anyway,"[anyway] de qualquer modo, mesmo assim, de qualquer forma, em todo o caso"
anywhere,"[anywhere] qualquer lugar, nenhum lugar, em qualquer parte, a lugar algum, a lugar nenhum, algum lugar, para lado nenhum, para lugar nenhum"
apartment,"[apartment] apartamento, andar, apartamentos"
appear,"[appear] aparecem, aparecer, parecem, aparece, aparecemos, apareceram, apareceria, aparecerá, aparecerão, apareceu, apareço, apresentar-se, parece, parecemos, parecer, pareceram, pareceria, parecerá, parecerão, pareceu, pareço"
appeared,"[appeared] apareceu, aparecido, apresentar-se, aparecer, apareceram, apareceriam, aparecia, apareciam, parecer, pareceram, pareceriam, pareceu, parecia, pareciam, parecido"
appears,"[appears] aparece, parece, aparecer, apresentar-se, parecer"
apple,[apple] maçã
apples,[apples] maçãs
application,"[application] aplicação, formulário, candidatura, aplicativo, ficha de solicitação, pedido"
applications,"[applications] aplicativos, aplicativo, aplicação, candidatura, candidaturas, formulário, formulários, pedido, pedidos"
apply,"[apply] candidatar, aplicar, candidatar-se, aplica, aplicam, aplique, apliquem, candidatei, inscreve, inscrevem, inscrevemos, inscrever, inscrevo, me candidatar"
appointment,"[appointment] consulta, compromisso, encontro, entrevista, horário, marcação, nomeação, posto"
approximately,"[approximately] aproximadamente, cerca de, em torno de, cerca, mais ou menos, praticamente"
april,[april] Abril
arabic,"[arabic] arábico, árabe"
architect,"[architect] arquiteta, arquiteto"
are,"[are] são, estão, estamos, estar, estaria, estariam, estará, estarão, esteja, estejam, estejamos, esteve, estiver, estiveram, estiverem, estou, está, existem, fica, ficam, ficamos, ficar, ficaram, ficaremos, ficaria, ficariam, ficará, ficarão, fico, ficou, foi, for, foram, forem, haja, há, nós somos, sejam, sejamos, seria, seriam, será, serão, somos, sou, tem, temos, tenham, tiver, tu estás, tu és, têm, você estiver, você está, você é, vocês são, vão, é"
are there,[are there]
are they,"[are they] eles estão, são, estão"
are you,[are you]
area,"[area] área, domínio, local, lugar, região, zona"
areas,"[areas] áreas, domínios, locais, lugares, região, regiões, zonas"
aren't,[aren't] não
aren't there,[aren't there]
aren't you,[aren't you]
argentina,[argentina] Argentina
argument,"[argument] discussão, argumento, disputa"
arguments,"[arguments] argumentos, discussão, discussões, disputas"
arm,"[arm] braço, armam, armar, armo"
arms,"[arms] braços, armas"
army,[army] exército
around,"[around] por aí, ao redor, em redor, aproximadamente, as redondezas, cerca, cerca de, em redor de, em torno, em torno de, em volta, em volta de, pela, pelo, perto, por, por volta da, por volta das, por volta do, próximo"
around noon,[around noon]
arrest,"[arrest] prendamos, detém, captura, prendem, detêm, deter, prende, detenho, prender, prendo"
arrive,"[arrive] chegar, chegam, chega, chegamos, chegaram, chegarei, chegaremos, chegaria, chegariam, chegará, chegarão, chego, chegou, chegue, cheguem"
arrived,"[arrived] chegado, chegou, chegasse, chegamos, chegar, chegaram, chegaremos, chegaria, chegariam, chegará, chegarão, chegaríamos, chegava, chegavam, cheguei, chegávamos"
art,[art] arte
article,[article] artigo
articles,"[articles] artigos, artigo"
artist,[artist] artista
artists,[artists] artistas
arts,"[arts] artes, arte"
as,"[as] como, tão, quanto, assim como, enquanto, igualmente, o que, por exemplo, quando, que, tanto quanto"
as soon as possible,[as soon as possible] assim que possível
as usual,[as usual] como de costume
as well,"[as well] tão como, assim como, também"
asia,[asia] ásia
asian,"[asian] asiáticas, asiático, asiática, asiáticos"
ask,"[ask] pedir, pergunta, peço, convida, convidam, convidamos, convidar, convidaram, convidarei, convidaria, convidariam, convidará, convidarão, convidaríamos, convidei, convido, convidou, fazem, fazer, faça, fizer, fizesse, pede, pedem, pedi, pedimos, pediram, pedirei, pediria, pediriam, pedirá, pedirão, pediu, perguntado, perguntam, perguntamos, perguntar, perguntaram, perguntarei, perguntarem, perguntaria, perguntariam, perguntará, perguntarão, perguntaríamos, pergunte, perguntei, pergunto, perguntou, peça, peçam, peças"
asked,"[asked] pediu, pedi, perguntou, chamei, convidado, convidamos, convidar, convidaram, convidaria, convidariam, convidará, convidava, convidavam, convidei, convidou, convidámos, convidávamos, fez, fiz, fizeram, pedia, pediam, pedido, pedimos, pedir, pediram, pediria, pediriam, pedirá, pedisse, pedíamos, pedíssemos, perguntado, perguntamos, perguntar, perguntaram, perguntaria, perguntariam, perguntará, perguntava, perguntavam, perguntei, perguntámos, perguntávamos"
asks,"[asks] pede, pergunta, convida, convidar, faz, pedir, perguntar"
assume,"[assume] supomos, supor, assumir, acha, acham, achamos, achar, acho, assume, assumimos, pensa, pensam, pensamos, pensar, penso, presume, presumem, presumimos, presumir, presumo, suponho, supôs, supõe, supõem"
assumes,"[assumes] supõe, acha, achar, achares, pensa, pensar, pensares, pressupõe, presume, presumir, supor"
at,"[at] a, para, ao, aos, arroba, com, da, em, na, naquelas, naquele, nas, nessa, nessas, nesse, nesta, nestas, neste, no, à, às, ás"
at least,"[at least] pelo menos, ao menos"
ate,"[ate] comeu, comi, comemos, come, comer, comeram, comia, comiam, comíamos, tomou"
athlete,[athlete] atleta
athletes,[athletes] atletas
attack,"[attack] ataque, ataca, atacam, atacar, atacará, ataco"
attacks,"[attacks] ataques, ataca, atacar"
attempt,"[attempt] tentativa, tenta, tentar, tentarei"
attempts,"[attempts] tentativas, tenta, tentar"
attention,[attention] atenção
attitude,[attitude] atitude
attractive,"[attractive] atraente, atraentes"
audience,"[audience] público, auditório, audiência, espectadoras, espectadores"
august,[august] agosto
aunt,[aunt] tia
australia,[australia] Austrália
author,"[author] autor, autora, escritor, escritora"
available,"[available] disponível, disponíveis"
avenue,[avenue] avenida
average,"[average] média, mediana, medianas, mediano, médio, típica, típicas, típico"
avoid,"[avoid] evitar, evita, evitam, evitamos, evitarei, evitaremos, evitaria, evitará, evitaríamos, evito"
award,"[award] prêmio, adjudicará, adjudicarão, atribui, atribuir, atribuirá, atribuirão, atribuo, bolsa, confere, conferir, conferirá, conferirão, confiro, prémio, recompensa"
awards,"[awards] prêmios, adjudica, adjudicar, atribui, atribuir, bolsas, confere, conferir, prémios, recompensas"
away,"[away] longe, para longe, embora, ausente, completamente, de distância, distante, fora, remoto, sem parar"
awesome,"[awesome] impressionantes, incrível, incríveis, impressionante, demais, assombroso"
awful,"[awful] horrível, horríveis, terrível"
babies,[babies] bebês
baby,"[baby] bebê, nenê"
back,"[back] costas, para trás, de volta, apoia, apoiam, apoiamos, apoiar, apoiaram, apoiarei, apoiaria, apoiariam, apoiará, apoiarão, apoio, apoiou, aposta em, apostam em, apostamos em, apostar em, apostaram em, apostarei em, apostaria em, apostariam em, apostará em, apostarão em, aposto em, apostou em, atrás, beque, defesa, dorso, em atraso, fazer recuar, fundo, parte de trás, parte traseira, posterior, recua, recuam, recuamos, recuar, recuaram, recuarei, recuaria, recuariam, recuará, recuarão, recuo, recuou, reverso, traseira, traseiro, verso, voltamos, voltei, voltou, zagueiro"
backpack,"[backpack] mochila, mochilas, mochilão"
bad,"[bad] ruim, doente, estragado, forte, grave, mal, mau, má, más, negativa, negativas, negativo, pior, ruins"
badly,"[badly] mal, doente, estragado, grave, gravemente, mau, má, pior, ruim"
bag,"[bag] bolsa, sacola, mala, mochila, saco"
bags,"[bags] bolsas, malas, sacolas, bolsa, mala, mochilas, saco, sacos"
ball,"[ball] bola, baile"
band,"[band] banda, bando, cinta, conjunto, faixa, tira"
bands,"[bands] bandas, bandos, cintas, conjuntos, faixas, tiras"
bank,[bank] banco
banking,[banking] operações bancárias
banks,"[banks] bancos, deposita no banco, depositar no banco"
bar,"[bar] bar, balcão, barra, barra de compasso, barreira, tablette, teia, tranca"
baseball,[baseball] beisebol
basket,"[basket] cesto, cesta"
basketball,[basketball] basquete(bol)
bathroom,"[bathroom] banheiro, casa de banho"
batteries,"[batteries] pilhas, baterias"
battery,"[battery] bateria, pilha"
battle,"[battle] batalha, batalham, batalhamos, batalhar, batalhará, batalharão, combate, combatem, combatemos, combater, combaterá, combaterão, luta, lutam, lutamos, lutar, lutará"
battles,"[battles] batalha, lutas, lutar, luta, batalhas, batalhar, combater"
be,"[be] ser, estar, ficar, chegará, conseguiria, estaremos, estará, esteja, estejam, estejamos, estiver, estivesse, fica, ficaremos, ficará, fique, for, fosse, haja, haver, haverá, seja, sejam, serem, seremos, seria, sermos, será, ter"
be moving,[be moving]
be quiet,[be quiet]
beach,[beach] praia
beaches,[beaches] praias
bear,"[bear] nasce, nascem, nascemos, nascer, nascerão, nasço, não, traga, trazer, ursa, urso"
beat,"[beat] bati, ganhou de, batem, bate, batemos, bater, bateram, bateu, batia, batiam, batimento, compasso, derrotam, derrotar, derrotá, ganhamos, ganhar, ganharmos, ganhe, ganhei, ganhem, ganhou, giro, ritmo, ronda, toque, trazer"
beautiful,"[beautiful] bonita, linda, lindo, bela, belas, belo, belos, bonitas, bonito, bonitos, lindas, lindos"
beauty,[beauty] beleza
became,"[became] ficaram, ficou, fiquei, me tornei, se tornarem, se tornou, tornamos, tornar-se, tornei, virou"
because,"[because] porque, por causa"
because of,[because of]
bed,"[bed] cama, camada, canteiro, fundo, leito"
bedsheets,[bedsheets] lençóis
beef,"[beef] carne vermelha, carne bovina, carne de vaca, carne, carne de boi"
beer,[beer] cerveja
before,"[before] antes, antes de, antes que, anterior, anteriores, anteriormente, antes da, antes de nós partirmos, antes do, antes dos, até então, diante, em frente, em frente de, já, na frente, perante"
began,"[began] começou, começaram, comecei, começamos, começar, começarmos, começava, começavam, começávamos, principiar"
begin,"[begin] começar, começam, começou, começa, começamos, começaram, começarei, começará, começo, iniciar, iniciou, principiar"
begins,"[begins] começa, começar, inicia, principiar"
behavior,[behavior] comportamento
behind,"[behind] atrás, atrás da, atrás do, atrasada, atrasado, atrás das, atrás de, atrás dos, com atraso, detrás, para trás, traseiro"
being,"[being] ser, estar, sendo, estando, ficando, ficar"
believe,"[believe] acredito, acreditar, acredita, acredita que, acreditado, acreditam, acreditamos, acreditaram, acreditarei, acreditaremos, acreditaria, acreditariam, acreditará, acreditarão, acredite, acreditei, acreditou, creio, cremos, crer"
believed,"[believed] acreditei, acreditado, acreditamos, acreditar, acreditaram, acreditarei, acreditaria, acreditariam, acreditará, acreditarão, acreditava, acreditavam, acreditou, acreditávamos"
believes,"[believes] acredita, acreditam, acreditar, crê"
bell,"[bell] sino, campainha, guizo, sineta"
belong,"[belong] pertence, pertencem, pertencemos, pertencer, pertenceria, pertencerá, pertencerão, pertençam, pertenço"
below,"[below] debaixo, debaixo de, abaixo, abaixo de, abaixo do, em baixo"
benefit,"[benefit] benefício, beneficia, beneficiar, faz bem a, fazer bem a, ganha, ganhar, lucra, lucrar, proveito, subsídio"
benefits,"[benefits] benefícios, faz bem a, fazer bem a, beneficia, beneficiar, ganha, ganhar, lucra, lucrar, proveitos, subsídios"
best,"[best] o melhor, a melhor, as melhores, bem, mais, melhor, melhores, os melhores"
best wishes,[best wishes] Felicidades
better,"[better] melhor, melhores, mais, melhora, melhoram, melhoramos, melhorar, melhoraram, melhorarei, melhoraria, melhorariam, melhorará, melhorarão, melhoro, melhorou"
between,[between] entre
bicycle,"[bicycle] bicicleta, ando de bicicleta, anda de bicicleta, andam de bicicleta, andamos de bicicleta, andar de bicicleta, andará de bicicleta, andarão de bicicleta"
bicycles,"[bicycles] bicicletas, anda de bicicleta, andar de bicicleta"
big,"[big] grande, grandes, grandinho"
bigger,"[bigger] maior, maiores"
biggest,"[biggest] o maior, a maior, os maiores, as maiores, maior, maiores"
bilingual,"[bilingual] bilíngue, bilíngüe"
biology,[biology] biologia
bird,"[bird] pássaro, passarinho, ave, bird"
birds,"[birds] pássaros, aves, passarinhos"
birth,[birth] nascimento
bit,"[bit] pouco, freio, mordemos, morder, morderam, morderiam, mordeu, mordi, mordia, mordiam, mordida, mordido, mordíamos, pedaço, picada, picado, picamos, picar, picaram, picariam, picava, picavam, picou, picávamos, piquei"
bits,[bits]
black,"[black] preto, pretos, negro, negra, negras, negros, preta, pretas, puro"
blame,"[blame] culpa, culpam, culpar, culparei, culpe, culpá"
blood,"[blood] sangue, de sangue, do sangue, sanguínea, sanguíneas, sanguíneo, sanguíneos"
blue,"[blue] azul, azuis, melancólico"
board,"[board] conselho, quadro, cobre com tábuas, cobrem com tábuas, cobrimos com tábuas, cobrir com tábuas, cubro com tábuas, embarca (em), embarcam (em), embarcamos (em), embarcar, embarcar (em), embarco (em), embarque, lousa, pensão, placa, placard, sobe (em), sobem (em), subimos (em), subir (em), subo (em), tábua"
board games,[board games] jogos de tabuleiro
boat,[boat] barco
bodies,"[bodies] corpos, organismos"
body,"[body] corpo, organismo, corporal"
book,"[book] livro, reserva, reservar, reservarmos, reserve, reservo, reservou, reservá"
books,"[books] livros, averbar, contas, escrita, escriturar, livro, marcar, registrar, reserva, reservar, revistas"
boots,[boots] botas
border,"[border] fronteira, borda, canteiro, margem"
boring,"[boring] chato, aborrecendo, chata, chatas, chatos, entediando, nascer"
born,"[born] nascer, nasceram, nasceu, nasci, nascida, nascidas, nascido"
boss,[boss] chefe
bosses,"[bosses] chefes, chefe/chefa, manda-chuva, mandar, patroas, patrão/patroa"
both,"[both] os dois, ambas, ambas as, ambos, ambos os, as duas, dois, duas"
bother,"[bother] incomode, incomodarei, incomodam"
bottle,"[bottle] garrafa, biberão, engarrafa, engarrafam, engarrafamos, engarrafar, engarrafarei, engarrafaria, engarrafará, engarrafo, frasco, mamadeira"
bottles,"[bottles] garrafas, biberão, engarrafa, engarrafar, frascos, mamadeiras"
bought,"[bought] compramos, compra, comprei, comprado, comprar, compraram, compraremos, compraria, comprará, comprarão, comprava, compravam, comprou, comprávamos, engoli, engolia, engoliam, engolido, engolimos, engolir, engoliram, engoliremos, engoliria, engolirá, engolirão, engoliu, engolíamos"
bowl,"[bowl] tigela, pote, bola de madeira, boliche, vasilha"
box,"[box] caixa, caixinha, luta boxe, lutam boxe, lutamos boxe, lutar boxe, lutaram boxe, lutaremos boxe, lutará boxe, lutei boxe, luto boxe, lutou boxe"
boxes,"[boxes] caixas, caixa"
boy,"[boy] menino, garoto, rapaz"
boyfriend,[boyfriend] namorado
boys,"[boys] meninos, garotos, rapazes, garoto, guri, guris, menino, moço, moços, os meninos, rapaz"
brain,"[brain] cérebro, inteligência, miolos"
brand,"[brand] marca, marcamos, marcar, marcaria, marcariam, marco"
brazil,"[brazil] Brasil, brasileiro, o Brasil"
bread,[bread] pão
breakfast,"[breakfast] café da manhã, desjejum, o café da manhã, pequeno-almoço"
bridge,"[bridge] ponte, bridge"
broke,"[broke] quebrou, partir-se, quebrar-se, bater, bateu, batia, chance, dar, dava, depenado, destruiu, destruí, deu, duro, duros, fraturei, fraturou, interromper, interrompeu, interrompia, intervalo, liso, mudar, mudava, mudou, oportunidade, partia, partir, partiu, quebra, quebrar, quebraram, quebrava, quebrei, ruptura, teso, transgredia, transgredir, transgrediu"
broken,"[broken] quebrado, bater, batido, chance, dado, dar, destruiu, destruí, destruída, destruído, destruídos, fraturada, fraturado, fraturou, interromper, interrompido, intervalo, mudado, mudar, oportunidade, partido, partir, partir-se, quebra, quebrada, quebrados, quebrar, quebrar-se, quebrei, quebrou, ruptura, transgredido, transgredir"
brother,[brother] irmão
brothers,[brothers] irmãos
brought,"[brought] trazido, trouxesse, trazia, tenha trazido, traremos, traria, trariam, trará, trarão, trazer, traziam, trazida, trazíamos, trouxe, trouxemos, trouxeram, trouxessem"
brown,"[brown] marrons, marrom, alourar, brown, castanho, castanhos, tosta, tostam, tostamos, tostar, tostaria, tosto"
budget,[budget] orçamento
build,"[build] construir, construímos, compleição, construem, construi, construirei, construiremos, construiria, construirão, construo, físico"
building,"[building] edifício, prédio, construir, construindo"
buildings,"[buildings] edifícios, prédios, construções"
built,"[built] construiu, compleição, construir, construía, construíam, construíamos, construída, construídas, construído, construídos, construímos, construíram, físico"
burger,[burger] hambúrguer
bus,"[bus] ônibus, autocarro"
busier,"[busier] mais ocupada, mais ocupado, mais ocupadas, mais ocupados"
business,"[business] negócio, administração, comercial, empresa, função, negócios, ocupação"
business professional,[business professional]
businesses,"[businesses] negócios, empresas, função, ocupação"
busy,"[busy] ocupado, atarefado, ativa, movimentada, movimentadas, movimentado, ocupada, ocupadas, ocupados"
but,"[but] mas, só, além de, apenas, entanto, exceto, menos, porém, senão"
buy,"[buy] comprar, compram, compro, compra, compramos, compraram, comprarei, comprarem, compraria, comprariam, comprarmos, comprará, comprarão, compraríamos, compre, comprei, compremos, comprou, comprá, engole, engolem, engoli, engolimos, engolir, engoliram, engolirei, engoliremos, engoliria, engoliriam, engolirá, engolirão, engoliríamos, engoliu, engulo"
buying,"[buying] comprar, comprando, engolindo"
buys,"[buys] compra, comprar, compras, engole, engolir"
by,"[by] de, por, pelo, a, antes, ao, ao lado, através de, até, até as, até às, com, conforme, da, de acordo com, do, junto de, pela, pelas, pelos, perto, perto de, à"
by himself,[by himself] sozinho
by myself,"[by myself] sozinha, sozinho"
by saturday,[by saturday]
by yourself,"[by yourself] sozinha, sozinho"
bye,[bye] tchau
cabinet,"[cabinet] gabinete, armário, escritório"
calendar,[calendar] calendário
call,"[call] chamar, ligar, chame, chama, chamada, chamam, chamaria, chamou, chamá, liga, ligada, ligarei, ligarei para, ligasse, ligação, ligo, ligou, ligue, ligue para, liguem, telefonar, telefonarei, telefonaremos, telefonará, telefone, telefonema"
call back,[call back]
call me back,[call me back]
called,"[called] chamado, chamou, chamei, chamamos, chamar, chamaram, chamarei, chamaremos, chamaria, chamará, chamarão, chamava, chamavam, chamávamos, convocado, convocamos, convocar, convocaram, convocarei, convocaremos, convocaria, convocará, convocarão, convocava, convocavam, convocou, convocávamos, convoquei, ligado, ligar, ligaram, ligasse, ligava, ligou, ligou para, liguei, liguei para, liguei para a, liguei pra, telefonado, telefonamos, telefonar, telefonaram, telefonarei, telefonaremos, telefonaria, telefonará, telefonarão, telefonava, telefonavam, telefonei, telefonou, telefonávamos"
calling,"[calling] ligar, chamado, chamando, convocando, ligando, ligando para, telefonando, telefonar, vocação, vou chamar"
calls,"[calls] chama, chamar, convoca, convocar, liga, liga para, ligações, telefona, telefonar"
came,"[came] veio, vieram, viemos, chegou, sucedemos, suceder, sucederam, sucederia, sucederiam, sucedeu, sucedi, sucedia, sucediam, sucedíamos, viestes, vim, vinha, vinham, vir, viria, viriam, vínhamos"
camera,"[camera] câmera, máquina fotográfica"
cameras,"[cameras] câmeras, máquina fotográfica, máquinas fotográficas"
campaign,"[campaign] campanha, faz campanha, fazem campanha, fazemos campanha, fazer campanha, faço campanha"
camping,"[camping] acampamento, acampando, acampada, campismo, acampar, acampado"
can,"[can] pode, posso, podem, consegue, conseguem, conseguir, consigo, lata, podemos, poder, poderei, poderem, possa, possam, possamos, possas, puder, pudermos, sabe, sabem, saber, saiba, sei, ser capaz de"
can i get,"[can i get] eu posso trazer, você pode me trazer"
can you,[can you]
can't,"[can't] não posso, não consegue, não pode, lata, não, não conseguem, não consegues, não conseguimos, não conseguir, não consigo, não podem, não podemos, não poder, não podes, não possa, não puder, não sabe, não saber, não sei, não ser capaz de, podemos, poder, saber, ser capaz de"
can't i,[can't i]
can't wait,"[can't wait] mal pode esperar, mal posso esperar"
can't you,[can't you]
canada,[canada] Canadá
cancer,"[cancer] câncer, cancro"
candidate,"[candidate] candidato, candidata"
candidates,[candidates] candidatos
cannot,"[cannot] não posso, não pode, não podemos, (nós) não conseguimos, (nós) não podemos, não, não consegue, não conseguem, não consegues, não consigo, não estamos podendo, não estou podendo, não está podendo, não estás podendo, não estão podendo, não podem, não poder, não podes, não sabe, não saber, não sei, não ser capaz de, ser capaz de"
capital,[capital] capital
captain,"[captain] capitão/capitã (futebol), capitão-de-mar-e-guerra, capitaneamos, capitanear, capitaneia, capitaneiam, capitaneio, capitã, comanda, comandam, comandamos, comandante, comandante de navio, comandar, comando"
car,"[car] carro, automóvel"
card,"[card] cartão, carta, postal"
cards,"[cards] cartões, cartas"
care,"[care] cuidados, cuidado, importam, importamos, importo, interesse, me importa, me importo, se importa, se importam"
career,"[career] carreira, ir numa carreira, iriam numa carreira, ir a toda a velocidade, iria numa carreira, vai a toda a velocidade, vai numa carreira, vou a toda a velocidade, vou numa carreira, vão a toda a velocidade, vão numa carreira"
